brand,description,price,colour,colour_simp,colour_simp2
ASOS Curve,Vestido midi amplio de manga larga con estampado floral extragrande de chifón de ASOS DESIGN Curve,"38,00 €",floral extragrande,,
Nobody's Child,Vestido largo con mangas fruncidas y estampado otoñal de florecitas de Nobody's Child,"43,50 €",flores otonales,,
ASOS DESIGN,Vestido corto a cuadros verdes y rosas de corte amplio con diseño cruzado de ASOS DESIGN,"13,50 €",cuadros,,
ASOS EDITION,Vestido camisero corto amarillo caléndula con hombreras de ASOS EDITION,"36,50 €",calendula,,
Pieces,Vestido corto azul amplio con bajo caído Darala de Pieces,"14,50 €",sunlit allium,,
I Saw It First,Vestido azul cobalto de corte amplio con volantes en las mangas de I Saw It First,"12,00 €",cobalto,,
Glamorous,Vestido corto rojo cruzado con estampado floral de Glamorous,"24,50 €",base roja con margaritas,,
Glamorous Curve,Vestido corto rojo cruzado con estampado floral de Glamorous Curve,"26,50 €",base roja con margaritas,,
Glamorous Bloom,Vestido corto rojo cruzado con estampado floral de Glamorous Bloom,"24,50 €",base roja con margaritas,,
ASOS DESIGN,Vestido corto de manga corta de malla con estampado floral difuminado y detalle de encaje de ASOS DESIGN,"21,50 €",flores difuminadas,,
Wednesday's Girl Curve,Vestido midi a cuadros vichy luminosos de corte amplio con falda escalonada y mangas abullonadas de Wednesday's Girl Curve,"17,50 €",cuadros vichy luminosos,,
Wednesday's Girl,Vestido midi a cuadros vichy luminosos de corte amplio con falda escalonada y mangas abullonadas de Wednesday's Girl,"13,00 €",cuadros vichy luminosos,,
ASOS Curve,Vestido de tarde midi de manga corta con busto fruncido y estampado floral en tonos pastel de ASOS DESIGN Curve,"15,00 €",flores tono pastel,,
ONLY,Vestido corto caqui cruzado de Only,"34,99 €",kalamata,,
Object,Vestido verde cruzado con diseño estampado multicolor Elli de Object,"62,99 €",hierba marina,,
Miss Selfridge,Vestido estilo palabra de honor con lavado descolorido Rara de Miss Selfridge,"13,00 €",lavado descolorido,,
Reclaimed Vintage,Vestido corto de tirantes con estampado geométrico estilo fular de satén de Reclaimed Vintage Inspired,"13,00 €",geometrico,,
ASOS Curve,"Vestido veraniego midi color pastel con estampado floral, lateral fruncido y cuello desbocado de ASOS DESIGN Curve","18,89 €",flores tono pastel,,
Polo Ralph Lauren,Vestido gris con capucha de punto de Polo Ralph Lauren,"172,00 €",brezo andover,,
Wednesday's Girl,Vestido de tarde midi blanco estilo mesonera con estampado floral de Wednesday's Girl,"19,00 €",floral base blanca,,
Glamorous,"Vestido corto en tonos pastel escalonado con estampado de margaritas, mangas abullonadas y lazada en la espalda de Glamorous","20,50 €",margaritas pastel,,
